127.0.0.1 - - [04/Feb/2021:22:23:21 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:23:25 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:23:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:23:26 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:55 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:56 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:57 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:57 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:58 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:58 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:36:59 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:38:55 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:38:56 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:38:57 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:39:49 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:39:50 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:39:50 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:39:51 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:40:08 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:40:08 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:04 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:05 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:06 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:06 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:06 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:07 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:53 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:53 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:54 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:54 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [04/Feb/2021:22:42:54 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1477
