127.0.0.1 - - [31/Mar/2021:15:06:16 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [31/Mar/2021:15:07:24 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [31/Mar/2021:15:07:25 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [31/Mar/2021:15:07:26 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [31/Mar/2021:15:10:04 +0530] "POST /OnlineShoppingProject/signupAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:15:10:04 +0530] "GET /OnlineShoppingProject/signup.jsp?msg=valid HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:00:20 +0530] "GET /OnlineShoppingProject/signup.jsp HTTP/1.1" 200 1428
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:00:34 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:01:14 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 2297
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:02:18 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:02:18 +0530] "GET /OnlineShoppingProject/login.jsp?msg=invalid HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:02:50 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:02:50 +0530] "GET /OnlineShoppingProject/login.jsp?msg=invalid HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:04:04 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:04:04 +0530] "GET /OnlineShoppingProject/login.jsp?msg=invalid HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:07:10 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:07:10 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:07:34 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:07:34 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:08:31 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:08:31 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:09:12 +0530] "GET /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:09:12 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:09:25 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:09:25 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:18:11 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:18:13 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:18:15 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:07 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:11 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:21 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:22 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:23 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:30 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:32 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:33 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:34 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Mar/2021:16:26:35 +0530] "GET /OnlineShoppingProject/login.jsp?msg=notFound HTTP/1.1" 200 774
