127.0.0.1 - - [25/Apr/2021:13:28:54 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:28:59 +0530] "GET /OnlineShoppingProject/table/create_tables.jsp HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:57:53 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 500 2540
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:05 +0530] "GET /OnlineShoppingProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:05 +0530] "GET /OnlineShoppingProject/ HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:07 +0530] "GET /OnlineShoppingProject/ HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:33 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:34 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:56 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:58:56 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:59:48 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 500 2540
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:59:57 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:13:59:57 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 500 2540
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:00:47 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:00:48 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 500 2544
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:01:36 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:01:36 +0530] "GET /OnlineShoppingProject/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:01:45 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:01:47 +0530] "GET /OnlineShoppingProject/admin/addNewProduct.jsp HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [25/Apr/2021:14:01:47 +0530] "GET /OnlineShoppingProject/css/addNewProduct-style.css HTTP/1.1" 200 2917
