127.0.0.1 - - [09/May/2021:23:38:18 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:22 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:22 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:22 +0530] "GET /OnlineShoppingProject/css/signup-style.css HTTP/1.1" 200 2112
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:22 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:32 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 4280
0:0:0:0:0:0:0:1 - - [09/May/2021:23:38:55 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 3284
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:20 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:20 +0530] "GET /OnlineShoppingProject/admin/adminHome.jsp HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:21 +0530] "GET /OnlineShoppingProject/css/home-style.css HTTP/1.1" 200 3464
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:28 +0530] "GET /OnlineShoppingProject/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:28 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/May/2021:23:40:35 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 3284
0:0:0:0:0:0:0:1 - - [09/May/2021:23:42:04 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/May/2021:23:42:14 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 3284
0:0:0:0:0:0:0:1 - - [09/May/2021:23:43:41 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 500 3284
0:0:0:0:0:0:0:1 - - [09/May/2021:23:45:43 +0530] "GET /OnlineShoppingProject/login.jsp HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [09/May/2021:23:46:00 +0530] "POST /OnlineShoppingProject/loginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2021:23:46:01 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [09/May/2021:23:46:11 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:46:46 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:47:00 +0530] "GET /OnlineShoppingProject/addressPaymentForOrder.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [09/May/2021:23:47:00 +0530] "GET /OnlineShoppingProject/css/addressPaymentForOrder-style.css HTTP/1.1" 200 2917
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:37 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:41 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:47 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:49 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:51 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:55 +0530] "GET /OnlineShoppingProject/addToCartAction.jsp?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:55 +0530] "GET /OnlineShoppingProject/home.jsp?msg=added HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [09/May/2021:23:48:58 +0530] "GET /OnlineShoppingProject/home.jsp HTTP/1.1" 200 3750
0:0:0:0:0:0:0:1 - - [09/May/2021:23:49:01 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [09/May/2021:23:49:48 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [09/May/2021:23:52:39 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [09/May/2021:23:52:41 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [09/May/2021:23:52:41 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [09/May/2021:23:52:42 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
0:0:0:0:0:0:0:1 - - [09/May/2021:23:52:50 +0530] "GET /OnlineShoppingProject/myCart.jsp HTTP/1.1" 200 4946
